Date,Transect,Position_m,Species,DBH_cm,Core,Straw,Board,Notes
9/21/14,T5,0,PIMA,7.5,1,1,1,
9/21/14,T5,0,PIMA,4.8,2,1,1,
9/21/14,T5,0,PIMA,4,3,1,1,
9/21/14,T5,0,PIMA,2.4,4,1,1,Very short
9/21/14,T5,0,PIMA,5,5,1,1,
9/21/14,T5,10,PIMA,3.7,6,6,1,
9/21/14,T5,10,PIMA,8.7,7,6,1,
9/21/14,T5,10,PIMA,3.9,8,6,1,
9/21/14,T5,10,PIMA,5.4,9,6,2,
9/21/14,T5,10,PIMA,4.2,10,6,2,
9/21/14,T5,10,PIMA,1.4,11,,35,Clip
9/21/14,T5,20,PIMA,5.9,12,12,2,
9/21/14,T5,20,PIMA,6.4,13,12,2,
9/21/14,T5,20,PIMA,5.8,14,12,2,
9/21/14,T5,20,PIMA,4.2,15,12,3,
9/21/14,T5,20,PIMA,3.2,16,12,3,Top of straw has good cores on top of little piece of 'bad' core
9/21/14,T5,20,PIMA,1.2,17,,36,Clip
9/21/14,T5,30,PIMA,4.9,18,18,3,
9/21/14,T5,30,PIMA,5,19,18,3,
9/21/14,T5,30,PIMA,4.3,20,18,3,
9/21/14,T5,30,PIMA,3.9,21,18,3,
9/21/14,T5,30,PIMA,1,22,,35,Clip
9/21/14,T5,30,PIMA,1.5,23,,36,Clip
9/21/14,T5,40,PIMA,5.8,24,24,4,
9/21/14,T5,40,PIMA,3.8,25,24,4,
9/21/14,T5,40,PIMA,9.2,26,24,4,
9/21/14,T5,40,PIMA,4.9,27,24,4,
9/21/14,T5,40,PIMA,7.9,28,24,4,
9/21/14,T5,40,PIMA,1.3,29,,35,Clip
9/21/14,T5,50,PIMA,11.3,30,30,4,
9/21/14,T5,50,PIMA,7.8,31,30,5,
9/21/14,T5,50,PIMA,15.9,32,30,5,
9/21/14,T5,50,PIMA,7.3,33,30,5,
9/21/14,T5,50,BEPA,13.5,34,34,5,?
9/21/14,T5,50,BEPA,14.3,35,34,5,?
9/21/14,T5,50,PIMA,1.3,36,,36,Clip
9/21/14,T5,60,PIMA,19.1,37,37,5,
9/21/14,T5,60,PIMA,12.3,38,37,5,
9/21/14,T5,60,PIMA,4.8,39,37,6,
9/21/14,T5,60,PIMA,15.9,40,37,6,
9/21/14,T5,60,BEPA,16,41,41,6,
9/21/14,T5,60,BEPA,13.5,42,41,6,
9/21/14,T5,60,BEPA,10.4,43,41,6,
9/21/14,T5,60,BEPA,8.8,44,41,6,
9/21/14,T5,70,BEPA,17.3,45,45,7,
9/21/14,T5,70,BEPA,15.8,46,45,7,
9/21/14,T5,70,BEPA,5.7,47,45,7,
9/21/14,T5,70,BEPA,8.7,48,45,7,
9/21/14,T5,70,PIMA,14.5,49,49,7,
9/21/14,T5,70,PIMA,4.2,50,49,7,
9/22/14,T7,0,PIMA,4.2,51,51,8,
9/22/14,T7,0,PIMA,3.1,52,51,8,
9/22/14,T7,0,PIMA,4.4,53,51,8,
9/22/14,T7,0,PIMA,1.3,95,,37,Clip
9/22/14,T7,0,PIMA,0.7,96,,35,Clip
9/22/14,T7,0,PIMA,1.7,97,,38,Clip
9/22/14,T7,10,PIMA,6,54,54,8,
9/22/14,T7,10,PIMA,4.9,55,54,8,
9/22/14,T7,10,PIMA,4.3,56,54,8,
9/22/14,T7,10,PIMA,4.1,57,54,8,
9/22/14,T7,10,PIMA,1,58,,35,Clip
9/22/14,T7,10,PIMA,1.5,59,,36,Clip
9/22/14,T7,20,PIMA,7.7,60,60,9,
9/22/14,T7,20,PIMA,4.3,61,60,9,
9/22/14,T7,20,PIMA,3,62,60,9,
9/22/14,T7,20,PIMA,5.8,63,60,9,
9/22/14,T7,20,PIMA,1.1,64,,35,Clip
9/22/14,T7,20,PIMA,1.7,65,,38,Clip
9/22/14,T7,30,PIMA,4.8,66,66,9,
